Order ID,Order Date,Customer Name,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD00001,2023-05-02,Customer_1466,Consumer,North,Delhi,Office Supplies,Stapler,1935.25,8,0.2,308.12
ORD00002,2024-10-25,Customer_9322,Home Office,South,Karnataka,Office Supplies,Pen,589.88,8,0.2,94.55
ORD00003,2024-01-21,Customer_6311,Consumer,North,Uttar Pradesh,Technology,Laptop,200.86,2,0.15,51.15
ORD00004,2023-09-10,Customer_9666,Consumer,South,Karnataka,Office Supplies,Marker,4961.84,1,0.15,857.97
ORD00005,2025-04-11,Customer_2528,Home Office,South,Telangana,Technology,Monitor,3098.08,3,0.15,460.25
ORD00006,2023-10-01,Customer_9792,Corporate,East,West Bengal,Technology,Monitor,327.61,3,0.2,40.17
ORD00007,2024-07-18,Customer_8041,Consumer,East,Bihar,Technology,Keyboard,4831.6,2,0.05,561.21
ORD00008,2023-02-04,Customer_4152,Corporate,North,Uttar Pradesh,Technology,Keyboard,3452.74,7,0.15,496.48
ORD00009,2024-01-25,Customer_4843,Home Office,East,West Bengal,Office Supplies,File,1368.02,8,0.15,133.97
ORD00010,2023-07-21,Customer_1995,Corporate,North,Uttar Pradesh,Technology,Printer,1005.79,2,0.05,153.32
ORD00011,2023-10-23,Customer_8892,Consumer,East,Bihar,Office Supplies,Pen,3029.71,8,0.15,94.85
ORD00012,2023-08-05,Customer_5859,Consumer,South,Kerala,Technology,Mouse,2004.52,2,0.2,314.08
ORD00013,2023-03-06,Customer_9006,Consumer,West,Rajasthan,Furniture,Sofa,3074.47,9,0.2,647.33
ORD00014,2023-03-04,Customer_6258,Home Office,East,Odisha,Technology,Keyboard,2174.67,1,0.15,203.05
ORD00015,2024-01-14,Customer_6892,Consumer,North,Punjab,Office Supplies,Notebook,1074.33,8,0.1,244.46
ORD00016,2025-04-19,Customer_4104,Consumer,West,Madhya Pradesh,Furniture,Bookshelf,4638.87,9,0.15,1093.73
ORD00017,2025-05-21,Customer_9154,Corporate,East,West Bengal,Technology,Laptop,411.44,7,0.2,79.16
ORD00018,2024-10-04,Customer_4840,Home Office,West,Rajasthan,Technology,Mouse,2850.09,3,0.2,720.87
ORD00019,2023-01-15,Customer_6977,Corporate,East,Bihar,Office Supplies,File,3636.47,7,0.1,584.32
ORD00020,2023-04-06,Customer_7019,Consumer,West,Gujarat,Furniture,Table,224.55,3,0.0,28.87
ORD00021,2024-06-24,Customer_2059,Corporate,East,Assam,Office Supplies,File,4547.08,7,0.2,659.15
ORD00022,2025-03-06,Customer_3693,Consumer,South,Karnataka,Office Supplies,File,4719.98,7,0.1,961.44
ORD00023,2023-12-14,Customer_6592,Home Office,North,Delhi,Technology,Mouse,2337.02,4,0.1,259.61
ORD00024,2024-09-24,Customer_6864,Home Office,West,Maharashtra,Furniture,Desk,1658.22,1,0.0,177.4
ORD00025,2024-11-07,Customer_1663,Home Office,West,Rajasthan,Office Supplies,Pen,1593.43,6,0.1,214.08
