Order ID,Order Date,Customer Name,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Month,Year
ORD00001,2023-05-02,Customer_1466,Consumer,North,Delhi,Office Supplies,Stapler,1935.25,8,0.2,308.12,May,2023
ORD00002,2024-10-25,Customer_9322,Home Office,South,Karnataka,Office Supplies,Pen,589.88,8,0.2,94.55,October,2024
ORD00003,2024-01-21,Customer_6311,Consumer,North,Uttar Pradesh,Technology,Laptop,200.86,2,0.15,51.15,January,2024
ORD00004,2023-09-10,Customer_9666,Consumer,South,Karnataka,Office Supplies,Marker,4961.84,1,0.15,857.97,September,2023
ORD00005,2025-04-11,Customer_2528,Home Office,South,Telangana,Technology,Monitor,3098.08,3,0.15,460.25,April,2025
ORD00006,2023-10-01,Customer_9792,Corporate,East,West Bengal,Technology,Monitor,327.61,3,0.2,40.17,October,2023
ORD00007,2024-07-18,Customer_8041,Consumer,East,Bihar,Technology,Keyboard,4831.6,2,0.05,561.21,July,2024
ORD00008,2023-02-04,Customer_4152,Corporate,North,Uttar Pradesh,Technology,Keyboard,3452.74,7,0.15,496.48,February,2023
ORD00009,2024-01-25,Customer_4843,Home Office,East,West Bengal,Office Supplies,File,1368.02,8,0.15,133.97,January,2024
ORD00010,2023-07-21,Customer_1995,Corporate,North,Uttar Pradesh,Technology,Printer,1005.79,2,0.05,153.32,July,2023
ORD00011,2023-10-23,Customer_8892,Consumer,East,Bihar,Office Supplies,Pen,3029.71,8,0.15,94.85,October,2023
ORD00012,2023-08-05,Customer_5859,Consumer,South,Kerala,Technology,Mouse,2004.52,2,0.2,314.08,August,2023
ORD00013,2023-03-06,Customer_9006,Consumer,West,Rajasthan,Furniture,Sofa,3074.47,9,0.2,647.33,March,2023
ORD00014,2023-03-04,Customer_6258,Home Office,East,Odisha,Technology,Keyboard,2174.67,1,0.15,203.05,March,2023
ORD00015,2024-01-14,Customer_6892,Consumer,North,Punjab,Office Supplies,Notebook,1074.33,8,0.1,244.46,January,2024
ORD00016,2025-04-19,Customer_4104,Consumer,West,Madhya Pradesh,Furniture,Bookshelf,4638.87,9,0.15,1093.73,April,2025
ORD00017,2025-05-21,Customer_9154,Corporate,East,West Bengal,Technology,Laptop,411.44,7,0.2,79.16,May,2025
ORD00018,2024-10-04,Customer_4840,Home Office,West,Rajasthan,Technology,Mouse,2850.09,3,0.2,720.87,October,2024
ORD00019,2023-01-15,Customer_6977,Corporate,East,Bihar,Office Supplies,File,3636.47,7,0.1,584.32,January,2023
ORD00020,2023-04-06,Customer_7019,Consumer,West,Gujarat,Furniture,Table,224.55,3,0.0,28.87,April,2023
ORD00021,2024-06-24,Customer_2059,Corporate,East,Assam,Office Supplies,File,4547.08,7,0.2,659.15,June,2024
ORD00022,2025-03-06,Customer_3693,Consumer,South,Karnataka,Office Supplies,File,4719.98,7,0.1,961.44,March,2025
ORD00023,2023-12-14,Customer_6592,Home Office,North,Delhi,Technology,Mouse,2337.02,4,0.1,259.61,December,2023
ORD00024,2024-09-24,Customer_6864,Home Office,West,Maharashtra,Furniture,Desk,1658.22,1,0.0,177.4,September,2024
ORD00025,2024-11-07,Customer_1663,Home Office,West,Rajasthan,Office Supplies,Pen,1593.43,6,0.1,214.08,November,2024
ORD00026,2025-04-09,Customer_7585,Consumer,North,Haryana,Office Supplies,Stapler,4720.26,6,0.0,712.57,April,2025
ORD00027,2024-09-04,Customer_4696,Consumer,East,Assam,Technology,Monitor,4815.99,7,0.05,1050.21,September,2024
ORD00028,2024-07-19,Customer_1854,Home Office,East,Bihar,Office Supplies,Pen,4988.93,1,0.05,826.51,July,2024
ORD00029,2023-05-10,Customer_6172,Consumer,East,Bihar,Technology,Keyboard,1465.37,1,0.0,161.03,May,2023
ORD00030,2023-07-03,Customer_5218,Consumer,North,Haryana,Furniture,Chair,2498.32,6,0.15,100.47,July,2023
ORD00031,2023-07-17,Customer_8125,Consumer,East,Odisha,Technology,Laptop,1286.58,6,0.2,216.24,July,2023
ORD00032,2023-11-22,Customer_3511,Consumer,North,Delhi,Office Supplies,File,2725.3,1,0.0,354.82,November,2023
ORD00033,2024-02-07,Customer_2986,Home Office,South,Karnataka,Office Supplies,File,299.8,4,0.15,56.78,February,2024
ORD00034,2024-10-01,Customer_7694,Corporate,South,Kerala,Office Supplies,Marker,4066.56,4,0.15,1037.5,October,2024
ORD00035,2024-04-17,Customer_6534,Corporate,South,Karnataka,Office Supplies,Stapler,4689.98,1,0.1,540.6,April,2024
ORD00036,2024-09-15,Customer_3049,Consumer,East,Assam,Office Supplies,File,4398.96,3,0.15,280.38,September,2024
ORD00037,2023-01-09,Customer_8400,Consumer,South,Karnataka,Technology,Keyboard,4981.64,5,0.2,1149.06,January,2023
ORD00038,2023-04-30,Customer_2648,Home Office,South,Karnataka,Technology,Laptop,1811.13,3,0.15,437.88,April,2023
ORD00039,2023-04-22,Customer_3557,Corporate,North,Punjab,Technology,Laptop,891.98,6,0.15,147.33,April,2023
ORD00040,2025-05-27,Customer_5433,Consumer,North,Punjab,Furniture,Desk,4706.65,9,0.2,381.15,May,2025
ORD00041,2023-06-10,Customer_6699,Corporate,South,Telangana,Technology,Monitor,2479.51,3,0.2,163.81,June,2023
ORD00042,2024-01-27,Customer_2218,Corporate,South,Tamil Nadu,Technology,Monitor,1262.52,5,0.15,140.92,January,2024
ORD00043,2024-04-14,Customer_4446,Home Office,West,Madhya Pradesh,Furniture,Chair,3322.3,1,0.15,489.05,April,2024
ORD00044,2025-02-14,Customer_4354,Consumer,North,Delhi,Furniture,Sofa,1327.26,6,0.2,174.78,February,2025
ORD00045,2024-04-25,Customer_8996,Corporate,South,Karnataka,Technology,Printer,2228.53,5,0.0,432.84,April,2024
ORD00046,2024-05-26,Customer_9208,Corporate,South,Telangana,Technology,Keyboard,2546.05,4,0.1,565.58,May,2024
ORD00047,2023-02-06,Customer_3327,Consumer,South,Tamil Nadu,Furniture,Bookshelf,4973.3,5,0.1,1078.86,February,2023
ORD00048,2023-04-26,Customer_1190,Consumer,North,Delhi,Technology,Mouse,1720.68,5,0.1,473.33,April,2023
ORD00049,2023-05-08,Customer_2816,Corporate,West,Madhya Pradesh,Furniture,Table,1597.92,7,0.0,206.5,May,2023
ORD00050,2024-11-16,Customer_4863,Corporate,North,Punjab,Furniture,Chair,2033.99,6,0.05,554.27,November,2024
ORD00051,2024-05-04,Customer_2409,Home Office,East,Assam,Furniture,Desk,1123.7,6,0.05,116.35,May,2024
ORD00052,2023-09-03,Customer_8343,Consumer,West,Gujarat,Technology,Keyboard,1680.5,8,0.0,141.42,September,2023
ORD00053,2024-02-12,Customer_9716,Consumer,North,Delhi,Office Supplies,Stapler,2808.82,7,0.05,681.22,February,2024
ORD00054,2023-01-20,Customer_3368,Consumer,North,Uttar Pradesh,Office Supplies,Marker,499.81,7,0.0,103.45,January,2023
ORD00055,2025-03-10,Customer_1853,Home Office,North,Delhi,Technology,Laptop,447.61,3,0.15,73.73,March,2025
ORD00056,2023-11-01,Customer_5777,Home Office,North,Punjab,Furniture,Chair,1707.95,6,0.05,435.7,November,2023
ORD00057,2023-09-21,Customer_4124,Corporate,South,Tamil Nadu,Office Supplies,Pen,4130.74,6,0.1,255.14,September,2023
ORD00058,2025-06-02,Customer_5142,Consumer,East,Odisha,Technology,Keyboard,1430.56,5,0.15,329.75,June,2025
ORD00059,2024-01-05,Customer_1635,Corporate,East,Assam,Technology,Keyboard,3527.61,8,0.15,187.62,January,2024
ORD00060,2025-02-25,Customer_6177,Home Office,East,West Bengal,Technology,Monitor,3601.52,3,0.0,539.17,February,2025
ORD00061,2025-03-01,Customer_2150,Home Office,North,Delhi,Office Supplies,Notebook,484.44,5,0.05,135.96,March,2025
ORD00062,2024-05-27,Customer_8805,Consumer,East,Bihar,Furniture,Chair,3510.27,5,0.0,327.59,May,2024
ORD00063,2023-09-29,Customer_5070,Home Office,East,Odisha,Technology,Monitor,559.98,9,0.2,44.79,September,2023
ORD00064,2023-03-17,Customer_5249,Corporate,East,West Bengal,Office Supplies,Marker,3319.85,5,0.2,381.45,March,2023
ORD00065,2023-08-08,Customer_6188,Consumer,North,Punjab,Furniture,Chair,1844.27,5,0.0,249.84,August,2023
ORD00066,2023-08-06,Customer_7617,Consumer,South,Kerala,Furniture,Bookshelf,561.37,4,0.2,72.16,August,2023
ORD00067,2025-01-03,Customer_5452,Home Office,East,Bihar,Office Supplies,Stapler,2508.92,7,0.15,158.82,January,2025
ORD00068,2023-06-29,Customer_8390,Home Office,West,Rajasthan,Technology,Laptop,2052.67,6,0.2,475.54,June,2023
ORD00069,2023-11-21,Customer_5611,Corporate,West,Rajasthan,Technology,Laptop,174.99,3,0.05,28.92,November,2023
ORD00070,2025-06-14,Customer_7303,Home Office,South,Kerala,Technology,Monitor,3117.67,7,0.05,145.37,June,2025
ORD00071,2024-01-15,Customer_5000,Home Office,West,Maharashtra,Technology,Laptop,4707.13,8,0.15,550.93,January,2024
ORD00072,2024-02-21,Customer_4913,Home Office,South,Tamil Nadu,Furniture,Bookshelf,4074.9,5,0.15,474.83,February,2024
ORD00073,2023-02-04,Customer_9967,Corporate,South,Telangana,Technology,Laptop,1112.75,2,0.2,37.4,February,2023
ORD00074,2023-07-15,Customer_1825,Home Office,East,West Bengal,Furniture,Table,1988.44,2,0.1,199.77,July,2023
ORD00075,2025-01-30,Customer_9867,Corporate,South,Tamil Nadu,Furniture,Bookshelf,3514.01,8,0.15,437.45,January,2025
ORD00076,2024-07-01,Customer_6073,Corporate,South,Karnataka,Technology,Mouse,969.45,9,0.1,269.14,July,2024
ORD00077,2024-11-25,Customer_6644,Corporate,North,Punjab,Office Supplies,Stapler,1325.08,8,0.2,92.29,November,2024
ORD00078,2025-05-30,Customer_9787,Corporate,South,Kerala,Technology,Laptop,3725.55,3,0.0,538.09,May,2025
ORD00079,2023-06-26,Customer_1395,Corporate,North,Uttar Pradesh,Technology,Mouse,4149.64,6,0.2,970.52,June,2023
ORD00080,2025-03-06,Customer_1717,Consumer,East,Odisha,Technology,Mouse,4796.85,3,0.15,521.54,March,2025
ORD00081,2023-05-24,Customer_5980,Consumer,South,Telangana,Furniture,Sofa,3416.17,4,0.1,523.55,May,2023
ORD00082,2024-04-28,Customer_4636,Corporate,East,Odisha,Office Supplies,Marker,549.35,9,0.15,103.35,April,2024
ORD00083,2023-07-05,Customer_7541,Consumer,East,West Bengal,Technology,Keyboard,3978.74,9,0.2,965.77,July,2023
ORD00084,2023-08-23,Customer_9010,Corporate,East,West Bengal,Technology,Printer,2792.69,5,0.1,703.55,August,2023
ORD00085,2023-09-10,Customer_2542,Home Office,East,Odisha,Furniture,Bookshelf,673.63,9,0.05,167.9,September,2023
ORD00086,2025-03-05,Customer_3681,Corporate,North,Uttar Pradesh,Office Supplies,Notebook,2187.85,8,0.05,304.47,March,2025
ORD00087,2023-12-31,Customer_2365,Home Office,North,Uttar Pradesh,Technology,Printer,818.36,5,0.1,143.48,December,2023
ORD00088,2025-03-14,Customer_4141,Home Office,South,Kerala,Furniture,Chair,4082.72,7,0.0,808.26,March,2025
